ObsID,InterviewerNumber,ObsDate,Langue,RspID,AnneeNaissance,Age,sex,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,ADM3_CODE,ADM3_NAME,HoHSex,EduHoH,Nbre_membre,Nbre_enfant,OccupHoH,Television,house,roof,ToiletType,Water,Staples,Pulses,Dairy,Meat,Veg,Fruits,Fats,Sugars,Calcul_FCS,Niveau,Approv,LessExpensiveFood,BorrowOrHelp,ReduceNumMeals,RestrictConsumption,LimitPortionSize,Calcul_CSI,Score_CSI,ImpRicekg_raw,LocalRiceKG_raw,NiebeKG_raw,PalmOil1L_raw,Meat_price_raw,buyhowoften,buyhowoften_oil,FreeResponse,ImpRicekg_cln,LocalRiceKG_cln,NiebeKG_cln,Meat_price_cln,PalmOil1L_cln,rCSI,FCS,FCG
7801,1,23-12-2017 20:10:59,Malinke,59032X8121B,1963,54,F,GN04,Kankan,GN0403,Kouroussa,GIN040301,Babila,M,Secondaire,15,5,Personnel de sante,Non,Maison en dur,Tole,Latrineapuit,Forage,7,7,1,7,2,2,7,2,75.5,Acceptable,Marche/Boutique,3,0,0,0,0,3,Phase 1,5500,6000,10000,10000,25000,1/mois,4/semaine,"dans ma localité les gens vivent très mal, cette année nos cultures n'ont pas du tout données, donc nous vivons très mal actuellement.",5500,6000,10000,25000,10000,3,75.5,3
7802,2,23-12-2017 20:10:08,Malinke,65843O6021B,1984,33,F,GN04,Kankan,GN0401,Kankan,GIN040103,Boula,M,Aucun,12,7,Agriculture,Non,Case,Paille,Latrineapuit,Puit ameliore,7,0,0,4,3,0,4,3,36.5,Acceptable,Propre production/jardins,0,0,0,0,0,0,Phase 1,6500,6500,5000,12000,15000,1/mois,1/mois,La situation alimentaire est difficile cette année car les récoltes n'ont pas été bonnes et les prix sont exorbitants sur le marché,6500,6500,5000,15000,12000,0,36.5,3
7803,3,23-12-2017 20:08:19,Malinke,07792X5321A,1974,43,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Primaire,30,6,Agriculture,Non,Maison en banco,Tole,Latrineabeton,Forage,7,5,0,7,2,2,7,3,66,Acceptable,Propre production/jardins,2,0,2,2,2,12,Phase 2,6500,7000,12000,14000,25000,7/semaine,1/mois,C’est difficile cette année car les prix sont exorbitants  sur le marché malgré que nous somme dans la période de récolte,6500,7000,12000,25000,14000,12,66,3
7804,4,23-12-2017 20:03:37,Guerze,98723T6261B,1967,50,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Aucun,9,6,Agriculture,Non,Maison en banco,Tole,Latrineapuit,Puit ameliore,7,3,2,3,3,0,7,1,50,Acceptable,Marche/Boutique,1,1,1,0,0,4,Phase 2,6500,6500,7000,12000,35000,7/semaine,7/semaine,la situation est dure car les prix sont chers sur le marché,6500,6500,7000,35000,12000,4,50,3
7805,1,23-12-2017 19:58:51,Malinke,43100E8121B,1977,40,F,GN04,Kankan,GN0405,Siguiri,GIN040508,Niagassola,M,Secondaire,7,5,Profession liberale,Oui,Maison en dur,Tole,Latrineabeton,Forage,7,2,0,4,3,7,7,0,49.5,Acceptable,Marche/Boutique,4,0,3,0,0,7,Phase 2,6500,7000,10000,12000,30000,7/semaine,7/semaine,les prix des denrées alimentaires augmentent tous les jours au marché et c'est chers et rarent,6500,7000,10000,30000,12000,7,49.5,3
7806,5,23-12-2017 19:58:42,Malinke,94836B0821D,1984,33,F,GN04,Kankan,GN0402,Kerouane,GIN040203,Kerouane centre,M,Secondaire,10,3,Autre: agent communautaire,Non,Maison en dur,Tole,Latrineapuit,Puit ordinaire,7,1,1,7,1,0,3,0,51.5,Acceptable,Marche/Boutique,1,0,1,1,7,12,Phase 2,6500,7000,10000,12000,25000,1/mois,7/semaine,les aliments sont très coûteux dans ma localité,6500,7000,10000,25000,12000,12,51.5,3
7807,2,23-12-2017 19:58:27,Francais,05713P6021B,1955,62,F,GN04,Kankan,GN0404,Mandiana,GIN040405,Kinieran,M,Primaire,7,3,Agriculture,Non,Maison en banco,Tole,Latrineapuit,Puit ameliore,7,2,0,2,1,7,7,0,39.5,Acceptable,Propre production/jardins,2,0,4,0,4,10,Phase 2,6000,6000,9000,12000,32000,1/mois,1/semaine,La situation alimentaire est  passable nous mangeons mais pas a notre faim,6000,6000,9000,32000,12000,10,39.5,3
7808,3,23-12-2017 19:56:16,Malinke,36462H4321C,1966,51,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Alphabetise,9,7,Agriculture,Oui,Maison en banco,Tole,Pasdetoilette,Forage,7,0,7,1,6,0,7,0,55.5,Acceptable,Emprunt/Crédit,1,2,0,1,4,12,Phase 2,6500,7000,12000,14000,25000,1/semaine,1/semaine,La situation alimentaire est très difficile cette année avec nous car nous n’avons pas fait de bonne récolte par manque de pluie,6500,7000,12000,25000,14000,12,55.5,3
7809,4,23-12-2017 19:52:48,Guerze,51881E8261B,1984,33,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,9,7,Fonctionnaire,Non,Maison en banco,Tole,Latrineapuit,Robinet,7,3,0,4,2,0,7,0,44.5,Acceptable,Propre production/jardins,1,1,1,0,1,5,Phase 2,6500,6500,7000,11000,30000,1/mois,1/mois,la situation est dure car les prix sont exorbitants sur le marché,6500,6500,7000,30000,11000,5,44.5,3
7810,3,23-12-2017 19:48:16,Francais,82542W4321B,1992,25,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,7,5,Personnel de sante,Non,Maison en dur,Tole,Latrineabeton,Forage,7,1,0,7,0,1,7,3,51,Acceptable,Marche/Boutique,1,0,0,0,0,1,Phase 1,6500,7000,12000,14000,25000,7/semaine,7/semaine,"C’est difficile cette année car les prix sont exorbitants  sur le marché malgré que nous somme dans la période de récolte 
",6500,7000,12000,25000,14000,1,51,3
7811,1,23-12-2017 19:42:52,Malinke,01699G7121D,1978,39,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,8,5,Agriculture,Non,Case,Paille,Latrineapuit,Puit ordinaire,7,3,0,1,3,7,7,7,44,Acceptable,Marche/Boutique,7,1,0,2,0,15,Phase 2,6500,7000,10000,12000,30000,7/semaine,7/semaine,"le manque de pluie à fait que nos récoltes n'ont pas donnée, nous ne manquons pas de domaine cultivable sauf le manque d'eau joue sur nous.",6500,7000,10000,30000,12000,15,44,3
7812,5,23-12-2017 19:42:51,Malinke,41065I0821C,1962,55,F,GN04,Kankan,GN0403,Kouroussa,GIN040304,Baro,M,Alphabetise,21,16,Agriculture,Non,Case,Paille,Latrineapuit,Forage,7,5,0,0,5,0,5,5,39,Acceptable,Propre production/jardins,2,0,0,0,0,2,Phase 1,7500,8000,7000,12000,25000,1/mois,5/semaine,la situation alimentaire est difficile car la récolte n'a pas été bonne cela a provoqué la cherté des denrées sur le marché,7500,8000,7000,25000,12000,2,39,3
7813,3,23-12-2017 19:41:55,Francais,77770S4321C,1994,23,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Alphabetise,12,9,Agriculture,Non,Maison en banco,Tole,Latrineapuit,Forage,7,0,0,7,6,3,7,2,55.5,Acceptable,Marche/Boutique,0,0,2,2,2,10,Phase 2,6500,7000,12000,14000,25000,7/semaine,7/semaine,La situation alimentaire est très difficile cette année avec nous car nous n’avons pas fait de bonne récolte par manque de pluie,6500,7000,12000,25000,14000,10,55.5,3
7814,2,23-12-2017 19:40:41,Malinke,47849V5021D,1977,40,F,GN04,Kankan,GN0405,Siguiri,GIN040511,Siguiri Centre,M,Aucun,25,11,Agriculture,Non,Maison en banco,Paille,Latrineapuit,Robinet,7,2,0,5,2,0,5,2,45.5,Acceptable,Marche/Boutique,2,0,2,0,1,5,Phase 2,5500,6500,9000,12000,35000,7/semaine,5/semaine,La Situation alimentaire est un peu difficile ici bien que nous sommes dans une zone minière et les prix des denrées varient d'un moment à l'autre dans les marchés,5500,6500,9000,35000,12000,5,45.5,3
7815,4,23-12-2017 19:38:50,Guerze,45598P8261A,1973,44,F,GN04,Kankan,GN0401,Kankan,GIN040103,Boula,M,Aucun,9,4,Agriculture,Non,Maison en dur,Tole,Latrineapuit,Forage,7,1,0,4,3,0,7,0,39.5,Acceptable,Marche/Boutique,2,0,1,1,0,6,Phase 2,6500,6500,7000,10000,35000,7/semaine,7/semaine,la situation est dure car les denrées sont chers et rare dans ma localité,6500,6500,7000,35000,10000,6,39.5,3
7816,3,23-12-2017 19:35:05,Francais,20816V3321C,1996,21,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,3,1,Sans emploi,Non,Maison en dur,Tole,Latrineapuit,Puit ordinaire,7,0,0,0,3,0,7,3,22,Limite,Marche/Boutique,2,0,0,0,0,2,Phase 1,6500,7000,10000,12000,25000,7/semaine,1/mois,"La situation alimentaire a été du tombola cette année par ce que d'autres on fait une bonne récolte par contre d'autres non , c'est pas facile quand même",6500,7000,10000,25000,12000,2,22,2
7817,5,23-12-2017 19:29:42,Francais,89243H0821C,1954,63,F,GN04,Kankan,GN0405,Siguiri,GIN040511,Siguiri Centre,M,Primaire,32,12,Autre: agent communautaire,Oui,Maison en dur,Tole,Latrineapuit,Forage,7,1,0,7,1,3,3,2,51.5,Acceptable,Marche/Boutique,4,3,4,1,6,23,Phase 3,6500,7000,10000,12000,22000,6/semaine,6/semaine,les prix des denrées alimentaires sont très coûteux dans leur localité,6500,7000,10000,22000,12000,23,51.5,3
7818,2,23-12-2017 19:28:40,Malinke,58725M5021D,1970,47,M,GN04,Kankan,GN0403,Kouroussa,GIN040309,Komola koura,M,Aucun,13,7,Personnel de sante,Non,Case,Paille,Latrineapuit,Robinet,7,3,5,7,3,3,7,2,81.5,Acceptable,Propre production/jardins,4,0,0,6,2,24,Phase 3,7500,7000,8000,11000,20000,1/semaine,5/semaine,le manque de pluie cette année à vraiment jouer sur nos cultures cette année; cela a d'ailleurs causer la monter des prix sur le marché,7500,7000,8000,20000,11000,24,81.5,3
7819,1,23-12-2017 19:26:47,Malinke,16615J7121C,1967,50,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Aucun,25,15,Agriculture,Non,Case,Paille,Latrineapuit,Forage,7,5,0,3,3,3,4,0,49,Acceptable,Propre production/jardins,0,0,0,0,0,0,Phase 1,6000,7000,10000,12000,22000,1/mois,1/semaine,"les situation alimentaire est compliquée cette année, la majeur partie de la population se plein car la récolte n'a pas donnée et nous sommes inquiet pour les prochains jours",6000,7000,10000,22000,12000,0,49,3
7820,4,23-12-2017 19:26:17,Francais,64284F2461C,1991,26,F,GN04,Kankan,GN0401,Kankan,GIN040107,Koumban,M,Superieur,3,0,Sans emploi,Non,Maison en dur,Tole,Latrineapuit,Forage,7,2,0,7,5,0,7,3,58,Acceptable,Marche/Boutique,3,3,2,0,1,12,Phase 2,6500,6500,7000,10000,35000,1/mois,1/mois,la situation est dure car nous avons pas les denrées dans notre localité et le peut qui est là coute chers,6500,6500,7000,35000,10000,12,58,3
7821,3,23-12-2017 19:25:48,Francais,68654V3321D,1962,55,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,16,9,Autre: retraité,Non,Maison en dur,Tole,Latrineabeton,Forage,7,0,0,7,5,4,7,0,54.5,Acceptable,Marche/Boutique,0,0,0,0,0,0,Phase 1,6500,7000,10000,12000,25000,7/semaine,7/semaine,C’est difficile cette année car nous n'avons pas l'habitude d'acheter la nouriture mais la récolte n'a pas été bonne donc on est obligé d'acheter,6500,7000,10000,25000,12000,0,54.5,3
7822,6,23-12-2017 19:19:30,Francais,87336J9821B,1986,31,F,GN04,Kankan,GN0405,Siguiri,GIN040509,Niandankoro,M,Aucun,20,16,Agriculture,Oui,Maison en dur,Tole,Latrineabeton,Puit ordinaire,7,6,0,1,2,2,6,7,46.5,Acceptable,Marche/Boutique,2,1,0,0,7,11,Phase 2,5000,6500,8000,10000,30000,1/mois,7/semaine,la qualité des aliments est  très mauvaise ;et les prix sont instables sur le marché,5000,6500,8000,30000,10000,11,46.5,3
7823,2,23-12-2017 19:18:03,Francais,82473K5021D,1965,52,F,GN04,Kankan,GN0405,Siguiri,GIN040507,Naboun,M,Primaire,30,18,Agriculture,Non,Case,Paille,Latrineabeton,Forage,7,5,0,2,0,7,6,7,50.5,Acceptable,Propre production/jardins,6,7,0,0,0,20,Phase 2,5500,6500,9000,12000,35000,3/semaine,7/semaine,les prix varient très souvent dans nos marchés ici à cause de la cherté de la vie,5500,6500,9000,35000,12000,20,50.5,3
7824,4,23-12-2017 19:13:43,Francais,75299D0461D,1946,71,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Aucun,22,8,Commercant,Non,Maison en banco,Tole,Latrineapuit,Forage,7,0,0,7,2,0,7,0,47.5,Acceptable,Marche/Boutique,2,3,1,2,1,16,Phase 2,6500,6500,70000,12000,35000,7/semaine,7/semaine,la situation est dure car les denrées sont chers sur le marché a cause du manque,6500,6500,70000,35000,12000,16,47.5,3
7825,5,23-12-2017 19:13:26,Malinke,52713L0821A,1967,50,F,GN04,Kankan,GN0403,Kouroussa,GIN040301,Babila,M,Secondaire,16,5,Agriculture,Non,Maison en banco,Tole,Latrineabeton,Forage,7,4,0,6,1,0,7,7,58,Acceptable,Marche/Boutique,3,2,0,0,0,7,Phase 2,6500,6000,9000,12000,25000,1/mois,4/semaine,la situation alimentaire est difficile cette année car les récoltes n'ont pas été bonnes par manque de pluie,6500,6000,9000,25000,12000,7,58,3
7826,3,23-12-2017 19:07:04,Francais,02829W1321A,1997,20,F,GN04,Kankan,GN0401,Kankan,GIN040110,Moribayah,M,Alphabetise,16,13,Commercant,Oui,Maison en dur,Tole,Latrineabeton,Forage,7,1,0,7,5,2,7,0,55.5,Acceptable,Marche/Boutique,2,0,2,2,2,12,Phase 2,6500,7000,10000,12000,25000,7/semaine,7/semaine,la situation alimentaire est très difficile cette année  car la récolte n'a pas été bonne manque de pluie,6500,7000,10000,25000,12000,12,55.5,3
7827,2,23-12-2017 19:06:47,Malinke,56084K5021C,1991,26,M,GN04,Kankan,GN0405,Siguiri,GIN040511,Siguiri Centre,M,Aucun,30,11,Profession liberale,Non,Maison en dur,Tole,Latrineapuit,Puit ameliore,7,0,0,7,3,3,7,0,51.5,Acceptable,Marche/Boutique,7,0,2,0,0,9,Phase 2,7500,8500,11000,10000,30000,3/semaine,2/semaine,"actuellement la vie n'est pas du tout aisée dans ma localité, les gens manquent vraiment de moyens pour se nourrir",7500,8500,11000,30000,10000,9,51.5,3
7828,1,23-12-2017 19:05:10,Francais,11253K7121C,1983,34,F,GN04,Kankan,GN0403,Kouroussa,GIN040303,Banfele,M,Secondaire,12,5,Profession liberale,Non,Maison en banco,Tole,Latrineapuit,Forage,7,2,3,7,1,0,7,3,66,Acceptable,Marche/Boutique,3,0,7,0,5,15,Phase 2,5500,6000,9000,12000,25000,1/mois,5/semaine,la récolte n'a pas été bonne cette année par conséquent tout est chers au marché,5500,6000,9000,25000,12000,15,66,3
7829,5,23-12-2017 19:02:33,Francais,52082E3221D,1988,29,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,4,1,Sans emploi,Non,Maison en dur,Tole,Toiletteavecchasse,Forage,7,0,0,7,0,1,7,2,47.5,Acceptable,Marche/Boutique,6,3,2,0,0,14,Phase 2,6500,7000,10000,12000,25000,1/mois,2/semaine,la cherté de la vie est très dure et les aliments sont très coûteux,6500,7000,10000,25000,12000,14,47.5,3
7830,6,23-12-2017 19:00:19,Francais,23119D9821B,1982,35,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,4,2,Fonctionnaire,Oui,Maison en dur,Tole,Latrineabeton,Robinet,7,3,3,5,2,4,5,0,63.5,Acceptable,Marche/Boutique,0,0,3,0,7,10,Phase 2,5000,6500,8000,10000,25000,1/mois,1/mois,les prix ne sont pas très chère actuellement dans ma localité ; on s'en sort par la grâce,5000,6500,8000,25000,10000,10,63.5,3
7831,7,23-12-2017 18:57:33,Francais,87080G1221B,1983,34,M,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,12,5,Commercant,Oui,Maison en dur,Rafia,Latrineabeton,Forage,7,2,2,7,1,2,7,0,62.5,Acceptable,Marche/Boutique,0,0,0,0,0,0,Phase 1,6500,6500,9000,12000,35000,1/mois,2/semaine,la situation alimentaire est bonne dans ma localité les prix sont abordables,6500,6500,9000,35000,12000,0,62.5,3
7832,2,23-12-2017 18:56:01,Francais,14994Y4021C,1980,37,F,GN04,Kankan,GN0402,Kerouane,GIN040207,Sibiribaro,M,Secondaire,5,0,Profession liberale,Non,Maison en banco,Paille,Latrineapuit,Source,7,2,0,5,2,2,6,0,47,Acceptable,Marche/Boutique,2,0,0,0,0,2,Phase 1,6500,7000,10000,12000,30000,7/semaine,7/semaine,La situation alimentaire est un peu dure ic les prix sont chers et la populations se plaint très souvent.,6500,7000,10000,30000,12000,2,47,3
7833,1,23-12-2017 18:55:17,Francais,47183Z7651C,1985,32,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,5,3,Sans emploi,Non,Case,Paille,Latrineapuit,Puit ordinaire,7,4,0,3,0,1,7,0,42.5,Acceptable,Marche/Boutique,2,4,2,1,0,15,Phase 2,6500,7000,10000,12000,30000,7/semaine,7/semaine,nous ne mangeons pas à notre faim la situation est vraiment médiocre dans ma localité,6500,7000,10000,30000,12000,15,42.5,3
7834,6,23-12-2017 18:51:05,Francais,27281I9821A,1982,35,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Superieur,9,5,Fonctionnaire,Non,Maison en banco,Tole,Latrineabeton,Puit ordinaire,7,1,1,5,2,2,5,3,49,Acceptable,Marche/Boutique,3,0,0,0,7,10,Phase 2,5500,7000,8000,10000,30000,1/mois,1/mois,la situation alimentaire est très difficile dans ; les prix sont exorbitants sur le marché,5500,7000,8000,30000,10000,10,49,3
7835,4,23-12-2017 18:48:51,Francais,15280T4461C,1957,60,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,7,1,Personnel de sante,Non,Maison en banco,Tole,Latrineapuit,Robinet,7,2,0,7,3,2,7,0,56.5,Acceptable,Marche/Boutique,2,0,2,0,0,4,Phase 2,6500,6500,7000,10000,35000,7/semaine,7/semaine,la situation est vraiment catastrophique cette année car la sécheresse a ravager nos cultures et nous avons pas les moyens pour s'offrir a mangé,6500,6500,7000,35000,10000,4,56.5,3
7836,3,23-12-2017 18:45:53,Malinke,15955P1321C,1997,20,F,GN04,Kankan,GN0403,Kouroussa,GIN040311,Kouroussa Centre,M,Aucun,15,8,Commercant,Non,Maison en banco,Tole,Latrineapuit,Robinet,7,1,0,7,2,1,7,0,51.5,Acceptable,Marche/Boutique,7,0,0,0,0,7,Phase 2,6500,7000,10000,12000,22000,7/semaine,7/semaine,"La situation alimentaire a été du tombola cette année par ce que d'autres on fait une bonne récolte par contre d'autres non , c'est pas facile quand même",6500,7000,10000,22000,12000,7,51.5,3
7837,1,23-12-2017 18:44:46,Malinke,54582Y7121C,1996,21,F,GN04,Kankan,GN0402,Kerouane,GIN040205,Konsankoro,M,Aucun,14,6,Personnel de sante,Oui,Maison en dur,Tole,Latrineabeton,Forage,7,7,1,7,1,7,7,0,78.5,Acceptable,Propre production/jardins,0,0,0,0,0,0,Phase 1,6000,5000,7000,10000,15000,1/mois,3/semaine,la situation alimentaire est difficile cette année nous sommes vraiment inquiet parce qu’il n’y a  pas eu beaucoup de récolte cette année,6000,5000,7000,15000,10000,0,78.5,3
7838,2,23-12-2017 18:35:31,Francais,54181Z5021D,1998,19,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,10,0,Profession liberale,Oui,Maison en dur,Tole,Latrineabeton,Robinet,7,0,0,3,2,4,5,2,35.5,Acceptable,Marche/Boutique,0,0,4,0,0,4,Phase 1,6500,7000,10000,12000,30000,7/semaine,7/semaine,les prix sont très chers ici dans nos marchés surtout celui du riz.,6500,7000,10000,30000,12000,4,35.5,3
7839,4,23-12-2017 18:34:09,Francais,15594Z6461D,1980,37,F,GN04,Kankan,GN0401,Kankan,GIN040110,Moribayah,M,Superieur,13,4,Personnel de sante,Oui,Maison en dur,Tole,Latrineabeton,Robinet,7,2,0,7,2,7,7,2,61.5,Acceptable,Marche/Boutique,0,0,0,0,0,0,Phase 1,6500,6500,7000,11000,35000,1/mois,7/semaine,la situation est difficile car a cause de la sécheresse a ravager nos cultures et les denrées sont chères sur le marché,6500,6500,7000,35000,11000,0,61.5,3
7840,3,23-12-2017 18:32:37,Francais,70741A0321A,1992,25,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Secondaire,8,6,Autre: retraité,Non,Maison en dur,Tole,Latrineabeton,Puit ordinaire,7,0,0,7,2,0,7,4,49.5,Acceptable,Marche/Boutique,2,0,2,2,2,12,Phase 2,6500,7000,10000,12000,25000,7/semaine,1/semaine,C’est difficile cette année car nous n'avons pas l'habitude d'acheter la nouriture mais la récolte n'a pas été bonne donc on est obligé d'acheter,6500,7000,10000,25000,12000,12,49.5,3
7841,6,23-12-2017 18:29:15,Francais,30602V5421C,1993,24,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,F,Superieur,5,0,Personnel de sante,Oui,Maison en dur,Tole,Toiletteavecchasse,Robinet,7,0,2,5,2,7,5,7,57,Acceptable,Marche/Boutique,0,2,0,2,1,11,Phase 2,5000,6500,8000,10000,30000,1/mois,1/mois,la situation est difficile ;le marché est dur et les aliments ne sont pas en abondance cette année,5000,6500,8000,30000,10000,11,57,3
7842,1,23-12-2017 18:29:01,Malinke,16339C6121A,1962,55,F,GN04,Kankan,GN0405,Siguiri,GIN040507,Naboun,M,Primaire,32,12,Agriculture,Non,Case,Paille,Latrineapuit,Forage,7,4,4,2,3,0,7,3,58,Acceptable,Propre production/jardins,2,0,0,0,0,2,Phase 1,7000,6000,5000,13000,25000,2/mois,5/semaine,cette année difficile plus que les 10 dernières années car les récoltes n'ont vraiment pas données nous souffrons vraiment,7000,6000,5000,25000,13000,2,58,3
7843,7,23-12-2017 18:28:13,Poular,77445O0021D,1973,44,F,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Aucun,5,3,Ouvrier,Oui,Maison en dur,Tole,Latrineabeton,Source,7,1,0,3,1,0,3,0,31.5,Limite,Marche/Boutique,1,0,3,3,0,13,Phase 2,6500,7000,10000,12000,30000,3/semaine,3/semaine,tout est chers au marché nous ne mangeons pas à notre faim,6500,7000,10000,30000,12000,13,31.5,2
7844,4,23-12-2017 18:25:23,Francais,20307A6461A,1972,45,M,GN04,Kankan,GN0401,Kankan,GIN040105,Kankan Centre,M,Aucun,12,7,Personnel de sante,Non,Maison en banco,Tole,Latrineabeton,Forage,7,3,0,4,4,0,0,0,43,Acceptable,Marche/Boutique,1,1,2,0,0,5,Phase 2,6500,6500,7000,10000,35000,7/semaine,7/semaine,la situation est dure car nos champs n'ont pas donnée cette année a cause de la sécheresse,6500,6500,7000,35000,10000,5,43,3
7845,2,23-12-2017 18:23:15,Francais,32331V5021C,1974,43,F,GN04,Kankan,GN0403,Kouroussa,GIN040303,Banfele,M,Secondaire,9,4,Agriculture,Non,Maison en banco,Paille,Latrineapuit,Forage,7,2,0,3,0,5,5,4,41.5,Acceptable,Marche/Boutique,3,0,0,0,0,3,Phase 1,6500,6000,7000,10000,22000,1/mois,3/semaine,la situation alimentaire varie par moment ici dans notre localté tant tôt les prix sont chers tant tôt ils ne le sont pas .,6500,6000,7000,22000,10000,3,41.5,3
7846,3,23-12-2017 18:22:50,Francais,86300T0321A,1982,35,F,GN04,Kankan,GN0401,Kankan,GIN040109,Missamana,F,Superieur,7,2,Profession liberale,Oui,Maison en dur,Tole,Latrineabeton,Puit ordinaire,7,0,0,7,0,1,7,1,47,Acceptable,Marche/Boutique,0,0,2,0,2,4,Phase 1,6500,7000,10000,12000,25000,7/semaine,1/semaine,La situation alimentaire est très difficile cette année avec nous car nous n’avons pas fait de bonne récolte par manque de pluie,6500,7000,10000,25000,12000,4,47,3
